award,film,nominee_x,year,genre,win,nominee_y
CINEMATOGRAPHY,Anna Christie,(William Daniels),1930,M,0.0,
CINEMATOGRAPHY,The Love Parade,(Victor Milner),1930,M,0.0,
CINEMATOGRAPHY,All Quiet on the Western Front,(Arthur Edeson),1930,M,0.0,
PRODUCTION DESIGN,The Vagabond King,(Hans Dreier),1930,M,0.0,
PRODUCTION DESIGN,Sally,(Jack Okey),1930,M,0.0,
CINEMATOGRAPHY,Hell's Angels,"(Gaetano Gaudio), (Harry Perry)",1930,M,0.0,
PRODUCTION DESIGN,King of Jazz,Herman Rosse,1930,M,1.0,
PRODUCTION DESIGN,The Love Parade,(Hans Dreier),1930,M,0.0,
DIRECTING,Clarence Brown,Anna Christie; and Romance,1930,M,0.0,
PRODUCTION DESIGN,Bulldog Drummond,(William Cameron Menzies),1930,M,0.0,
CINEMATOGRAPHY,With Byrd at the South Pole,"Joseph T. Rucker, Willard Van Der Veer",1930,M,1.0,
DIRECTING,Robert Leonard,The Divorcee,1930,M,0.0,
WRITING (Adapted Screenplay),Disraeli,(Julian Josephson),1930,M,0.0,
WRITING (Adapted Screenplay),Street of Chance,(Howard Estabrook),1930,M,0.0,
WRITING (Adapted Screenplay),The Divorcee,(John Meehan),1930,M,0.0,
WRITING (Adapted Screenplay),All Quiet on the Western Front,"(George Abbott), (Maxwell Anderson), (Del Andrews)",1930,M,0.0,
DIRECTING,King Vidor,Hallelujah,1930,M,0.0,
DIRECTING,Lewis Milestone,All Quiet on the Western Front,1930,M,1.0,
DIRECTING,Ernst Lubitsch,The Love Parade,1930,M,0.0,
WRITING (Adapted Screenplay),The Big House,Frances Marion,1930,F,1.0,
PRODUCTION DESIGN,Cimarron,Max RÃ©e,1931,M,1.0,
PRODUCTION DESIGN,Just Imagine,"Stephen Goosson, Ralph Hammeras",1931,M,0.0,
CINEMATOGRAPHY,Tabu,Floyd Crosby,1931,M,1.0,
PRODUCTION DESIGN,Svengali,Anton Grot,1931,M,0.0,
PRODUCTION DESIGN,Whoopee!,Richard Day,1931,M,0.0,
PRODUCTION DESIGN,Morocco,Hans Dreier,1931,M,0.0,
CINEMATOGRAPHY,Morocco,Lee Garmes,1931,M,0.0,
CINEMATOGRAPHY,Svengali,"Barney ""Chick"" McGill",1931,M,0.0,
WRITING (Adapted Screenplay),The Criminal Code,"Seton I. Miller, Fred Niblo, Jr.",1931,M,0.0,
WRITING (Adapted Screenplay),Cimarron,Howard Estabrook,1931,M,1.0,
CINEMATOGRAPHY,The Right to Love,Charles Lang,1931,M,0.0,
WRITING (Adapted Screenplay),Holiday,Horace Jackson,1931,M,0.0,
WRITING (Original Screenplay),Smart Money,"Lucien Hubbard, Joseph Jackson",1931,M,0.0,
WRITING (Adapted Screenplay),Little Caesar,"Francis Faragoh, Robert N. Lee",1931,M,0.0,
WRITING (Original Screenplay),The Public Enemy,"John Bright, Kubec Glasmon",1931,M,0.0,
WRITING (Original Screenplay),Laughter,"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart",1931,M,0.0,
WRITING (Original Screenplay),The Doorway to Hell,Rowland Brown,1931,M,0.0,
WRITING (Original Screenplay),The Dawn Patrol,John Monk Saunders,1931,M,1.0,
DIRECTING,Cimarron,Wesley Ruggles,1931,M,0.0,
WRITING (Adapted Screenplay),Skippy,"Joseph L. Mankiewicz, Sam Mintz",1931,M,0.0,
DIRECTING,A Free Soul,Clarence Brown,1931,M,0.0,
DIRECTING,Morocco,Josef Von Sternberg,1931,M,0.0,
DIRECTING,Skippy,Norman Taurog,1931,M,1.0,
CINEMATOGRAPHY,Cimarron,Edward Cronjager,1931,M,0.0,
DIRECTING,The Front Page,Lewis Milestone,1931,M,0.0,
CINEMATOGRAPHY,Dr. Jekyll and Mr. Hyde,Karl Struss,1932,M,0.0,
CINEMATOGRAPHY,Arrowsmith,Ray June,1932,M,0.0,
PRODUCTION DESIGN,Transatlantic,Gordon Wiles,1932,M,1.0,
PRODUCTION DESIGN,Arrowsmith,Richard Day,1932,M,0.0,
PRODUCTION DESIGN,Ã Nous la LibertÃ©,Lazare Meerson,1932,M,0.0,
SHORT FILM (Animated),Mickey's Orphans,"Walt Disney, Producer",1932,M,0.0,
WRITING (Adapted Screenplay),Arrowsmith,Sidney Howard,1932,M,0.0,
DIRECTING,Bad Girl,Frank Borzage,1932,M,1.0,
DIRECTING,Shanghai Express,Josef Von Sternberg,1932,M,0.0,
SHORT FILM (Animated),Flowers and Trees,"Walt Disney, Producer",1932,M,1.0,
SHORT FILM (Animated),It's Got Me Again,"Leon Schlesinger, Producer",1932,M,0.0,
WRITING (Adapted Screenplay),Bad Girl,Edwin Burke,1932,M,1.0,
CINEMATOGRAPHY,Shanghai Express,Lee Garmes,1932,M,1.0,
WRITING (Original Screenplay),Lady and Gent,"Grover Jones, William Slavens McNutt",1932,M,0.0,
WRITING (Original Screenplay),What Price Hollywood?,"Adela Rogers St. Johns, Jane Murfin",1932,F,0.0,
WRITING (Original Screenplay),The Champ,Frances Marion,1932,F,1.0,
WRITING (Original Screenplay),The Star Witness,Lucien Hubbard,1932,M,0.0,
DIRECTING,The Champ,King Vidor,1932,M,0.0,
WRITING (Adapted Screenplay),Dr. Jekyll and Mr. Hyde,"Percy Heath, Samuel Hoffenstein",1932,M,0.0,
WRITING (Original Screenplay),Rasputin and the Empress,Charles MacArthur,1933,M,0.0,
WRITING (Original Screenplay),One Way Passage,Robert Lord,1933,M,1.0,
WRITING (Adapted Screenplay),State Fair,"Paul Green, Sonya Levien",1933,X,0.0,2.0
WRITING (Original Screenplay),The Prizefighter and the Lady,Frances Marion,1933,F,0.0,
SHORT FILM (Animated),The Merry Old Soul,"Walter Lantz, Producer",1933,M,0.0,
SHORT FILM (Animated),Building a Building,"Walt Disney, Producer",1933,M,0.0,
DIRECTING,Little Women,George Cukor,1933,M,0.0,
DIRECTING,Lady for a Day,Frank Capra,1933,M,0.0,
DIRECTING,Cavalcade,Frank Lloyd,1933,M,1.0,
CINEMATOGRAPHY,The Sign of the Cross,Karl Struss,1933,M,0.0,
CINEMATOGRAPHY,Reunion in Vienna,George J. Folsey,1933,M,0.0,
CINEMATOGRAPHY,A Farewell to Arms,"Charles Bryant Lang, Jr.",1933,M,1.0,
PRODUCTION DESIGN,When Ladies Meet,Cedric Gibbons,1933,M,0.0,
PRODUCTION DESIGN,A Farewell to Arms,"Hans Dreier, Roland Anderson",1933,M,0.0,
PRODUCTION DESIGN,Cavalcade,William S. Darling,1933,M,1.0,
SHORT FILM (Animated),The Three Little Pigs,"Walt Disney, Producer",1933,M,1.0,
WRITING (Adapted Screenplay),Lady for a Day,Robert Riskin,1933,M,0.0,
WRITING (Adapted Screenplay),Little Women,"Victor Heerman, Sarah Y. Mason",1933,X,1.0,2.0
PRODUCTION DESIGN,The Gay Divorcee,"Van Nest Polglase, Carroll Clark",1934,M,0.0,
CINEMATOGRAPHY,Cleopatra,Victor Milner,1934,M,1.0,
CINEMATOGRAPHY,Operator 13,George Folsey,1934,M,0.0,
DIRECTING,It Happened One Night,Frank Capra,1934,M,1.0,
DIRECTING,One Night of Love,Victor Schertzinger,1934,M,0.0,
DIRECTING,The Thin Man,W. S. Van Dyke,1934,M,0.0,
FILM EDITING,Eskimo,Conrad Nervig,1934,M,1.0,
